Hidden Dim,Learning Rate,Momentum,Minibatch Size,Epochs
40,0.01,0.9,16,50
Best Val Loss,0.8370035809278488

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,0.9962419157028198,0.533375,0.9409157264232636,0.54125,
2,0.8908353861570358,0.578,0.8637222462892532,0.5825,
3,0.8194860732555389,0.615375,0.8581360477209091,0.59125,
4,0.7627510472536086,0.64775,0.8543234592676163,0.60125,
5,0.7430116000771523,0.662875,0.8370035809278488,0.58125,*
6,0.6893260588049889,0.683,0.9272225087881089,0.5875,
7,0.642350538879633,0.71675,1.116771828532219,0.535,
8,0.6155591899156571,0.730375,0.8591462445259094,0.60875,
